2025-12-05 20:41:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NBA
2025-12-05 20:41:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:41:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:41:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:41:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:46:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 20:46:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:46:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 20:46:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:51:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: MLB
2025-12-05 20:51:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:51:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: MLB
2025-12-05 20:51:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:51:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NBA
2025-12-05 20:51:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:51:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NBA
2025-12-05 20:51:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:51:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 20:51:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:51:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 20:51:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:56:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 20:56:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 20:56:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 20:56:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:01:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NBA
2025-12-05 21:01:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:01:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:01:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:01:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NBA
2025-12-05 21:01:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:01:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:01:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:06:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: MLB
2025-12-05 21:06:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:06:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: MLB
2025-12-05 21:06:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:06:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:06:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:06:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:06:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:11:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:11:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NBA
2025-12-05 21:11:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NBA
2025-12-05 21:11:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:11:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:11:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:11:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:11:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:16:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:16:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:16:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:16:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:21:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: MLB
2025-12-05 21:21:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:21:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: MLB
2025-12-05 21:21:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:21:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NBA
2025-12-05 21:21:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:21:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NBA
2025-12-05 21:21:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:21:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:21:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:21:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:21:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:26:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:26:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:26:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:26:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:31:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NBA
2025-12-05 21:31:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:31:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NBA
2025-12-05 21:31:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:31:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:31:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:31:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:31:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:36:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: MLB
2025-12-05 21:36:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:36:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: MLB
2025-12-05 21:36:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:36:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:36:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:36:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:36:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:41:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NBA
2025-12-05 21:41:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:41:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NBA
2025-12-05 21:41:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:41:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:41:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:41:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:41:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:46:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:46:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:46:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:46:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:51:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NBA
2025-12-05 21:51:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: MLB
2025-12-05 21:51:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NBA
2025-12-05 21:51:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: MLB
2025-12-05 21:51:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:51:57 | WARNING  | src.providers.draftkings.client | No league mapping found for sport_id: NFL
2025-12-05 21:51:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:51:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:51:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
2025-12-05 21:51:57 | WARNING  | src.providers.draftkings.parser | Invalid or empty raw data received
